 time_step hot_sigma q_25_hot_br_sigma q_75_hot_br_sigma hot_wr_sigma q_25_hot_wr_sigma q_75_hot_wr_sigma cold_sigma q_25_cold_br_sigma q_75_cold_br_sigma cold_wr_sigma q_25_cold_wr_sigma q_75_cold_wr_sigma
41 2082.0 8.03572 7.944825 8.111855 0.021365264273073246 0.012049532683724346 0.03354025908324344 8.02499 7.947875 8.12922 0.015149474239270246 0.008631292107901022 0.026345816524785917
42 2084.0 8.01925 7.945685 8.111855 0.020604466209946482 0.012241935352435208 0.03095612142053661 8.02499 7.947875 8.118355 0.01390887361900616 0.008452375972192658 0.024242600056638905
43 2086.0 8.03889 7.945685 8.11547 0.01991000144380123 0.011562588415454385 0.031014214081974696 8.02499 7.94525 8.118365 0.013733792977491742 0.008384625570735275 0.024621320783602053
44 2088.0 8.03975 7.951035 8.11987 0.018797221682296545 0.01084376967323243 0.029894170764612656 8.0161 7.93943 8.11593 0.013642143455167142 0.007821375880839592 0.02448614553446945
45 2090.0 8.03975 7.94993 8.11255 0.019873240920146404 0.010506537960456868 0.03027764173879264 8.0161 7.93943 8.10265 0.013293022437633178 0.006704947906068256 0.025537055430199008
46 2092.0 8.03975 7.9474599999999995 8.12529 0.018399615223130567 0.010041536624511127 0.030577600157702247 7.9969 7.93943 8.098105 0.013326779209771156 0.006767820172018077 0.025430089637463876
47 2094.0 8.03975 7.951445 8.12529 0.017676147987535012 0.009994401458341575 0.030135205295400175 8.01047 7.930905 8.10192 0.012875572849766063 0.0062663492811154825 0.026183981800183907
48 2096.0 8.04931 7.95076 8.12529 0.01618471459723279 0.00890771328156067 0.029502421198232855 8.01047 7.927944999999999 8.098185 0.012177951974165858 0.006175519893541673 0.02710780087169823
49 2098.0 8.03975 7.951445 8.118125 0.015428490797336637 0.008078159155631325 0.028727135114808275 8.01047 7.9361049999999995 8.10265 0.012167820115011265 0.005777431541482072 0.024801962701399956
50 2100.0 8.03767 7.951445 8.118125 0.01649813939344192 0.008099339305627031 0.028346162899862325 8.00019 7.927944999999999 8.098185 0.012842224548129227 0.005884448571520775 0.022502587526509663
51 2102.0 8.03975 7.94713 8.11987 0.014304858297446514 0.007161102462381316 0.029724931038665185 8.00351 7.927944999999999 8.098185 0.012582610518699943 0.005578310252053134 0.022253618413426768
52 2104.0 8.03975 7.9524799999999995 8.127035 0.013665816314693444 0.0069277932834073234 0.02951116486833777 7.9969 7.9192149999999994 8.098185 0.01141132268156468 0.005007248323764537 0.019951536803347054
53 2106.0 8.03975 7.9524799999999995 8.11987 0.013325379572903414 0.006846947830684822 0.027731246526315263 7.98356 7.91867 8.098105 0.01142011108927406 0.005021187718408459 0.021044221083271537
54 2108.0 8.03767 7.920695 8.1275 0.012689067382071748 0.006658857218625275 0.028220420090248312 7.9969 7.913235 8.10192 0.011162688213351724 0.004888335507157528 0.01885577242595597
55 2110.0 8.03975 7.920695 8.12881 0.012487958231232025 0.006778330843647129 0.02478614338834726 7.98356 7.910875 8.09836 0.010743330398873626 0.005215594718876908 0.018740923427541772
56 2112.0 8.03975 7.920695 8.1275 0.01184051135650671 0.00544631799930919 0.025157458069412518 7.98356 7.910875 8.09836 0.010527660599450985 0.005302521664831491 0.01895728476351151
57 2114.0 8.03767 7.90888 8.12881 0.010590356569693192 0.005347587322542733 0.022269565167593156 7.988695 7.910875 8.09836 0.010203657856546809 0.003869540363092762 0.018336420125671233
58 2116.0 8.03767 7.90888 8.12881 0.010044448065261764 0.0046285976462262825 0.023071625184159426 7.99051 7.910875 8.10257 0.010122261654911226 0.0035952513880578244 0.0191629154524368
59 2118.0 8.03767 7.90888 8.12881 0.010198481143039406 0.004020960955592795 0.02101222289044495 7.99051 7.909795 8.115865 0.010283577419531665 0.0035499521621988337 0.017335308919274914
60 2120.0 8.03767 7.90888 8.1275 0.00980602000988245 0.004100598873430994 0.019031566621729158 7.99051 7.90698 8.1080225 0.010347664224145237 0.0034823833654449654 0.016869980674903508
61 2122.0 8.03975 7.90888 8.12802 0.009928658962156852 0.00394869085364183 0.017895009466152797 7.99051 7.909275 8.10257 0.009792563241628069 0.003611188611457826 0.01713169837454704
62 2124.0 8.03975 7.90888 8.126245 0.010121144925152842 0.004081914484316318 0.017579099122012394 7.99051 7.90698 8.10257 0.008657479047232896 0.0038065198609967092 0.016876227327311588
63 2126.0 8.04344 7.9077 8.12881 0.009899157622968073 0.0040192144445199435 0.017918786335025454 7.99051 7.90698 8.10257 0.008333170354264246 0.0034417254064212123 0.016843865942157053
64 2128.0 8.03975 7.9077 8.126245 0.010788073418217477 0.004252954911229886 0.01741134528103965 7.9969 7.90698 8.10257 0.008393677804237446 0.0034340356673096956 0.016478162506147358
65 2130.0 8.03975 7.9077 8.12802 0.01065880381260364 0.00446947943522264 0.017416591156954868 7.9969 7.90698 8.10257 0.007674489901953279 0.003505380384213377 0.015973487044016788
66 2132.0 8.03975 7.9077 8.12802 0.010192105253998114 0.004248737378746488 0.01707745342834192 7.9969 7.90698 8.10257 0.007803220529538708 0.0037224631970493452 0.01609157509736312
67 2134.0 8.03975 7.917645 8.13349 0.009790627376396556 0.004260428513414584 0.016388765854110404 8.01047 7.909795 8.11593 0.007612886320278431 0.003911588961693107 0.01525086571169055
68 2136.0 8.03975 7.9077 8.12802 0.008353522328791715 0.004402598993072203 0.014987289805500304 8.0163 7.90698 8.119845 0.00722146501671291 0.003774461123842167 0.01558531637719415
69 2138.0 8.03975 7.9077 8.133859999999999 0.008623528802137745 0.004157440153610963 0.014177610240050133 8.01622 7.900545 8.112535 0.007012508642481531 0.0032565041120735496 0.014779843865607333
70 2140.0 8.03975 7.9077 8.133859999999999 0.007998876424681162 0.0038923176024233726 0.013439799666121053 8.01622 7.900545 8.10257 0.006795728825676246 0.003584215008798055 0.013542155389014023
71 2142.0 8.03975 7.9077 8.12802 0.0076075798557754225 0.003405843733610711 0.014890566218238303 8.01622 7.900545 8.10257 0.006212236411350581 0.003099490237173216 0.01314350750460052
72 2144.0 8.03767 7.9077 8.12802 0.007057682382556046 0.003439315585784853 0.012691698746427378 8.01622 7.900545 8.107215 0.005466751603962292 0.0024645474896602326 0.01261516904235288
73 2146.0 8.03975 7.907085 8.12802 0.007218952542102553 0.0036838457782644224 0.012327454880883746 8.01047 7.89124 8.10257 0.004743569122109597 0.002439943572897095 0.013192148017484681
74 2148.0 8.03767 7.907085 8.12802 0.007552514061947977 0.0032483065064374964 0.010859999414223484 8.01047 7.8892050000000005 8.10257 0.004756755971225273 0.0026466692110107765 0.01295798929764181
75 2150.0 8.03767 7.907085 8.12802 0.007698819110114431 0.0033407534277533676 0.012392106129497635 8.01622 7.89124 8.105095 0.004823026444461837 0.002362674172004383 0.013135733476082961
76 2152.0 8.03767 7.907085 8.12802 0.007530976982277821 0.003061949056094697 0.011016423186902491 8.01622 7.894625 8.105095 0.004740274674211327 0.002295939076776823 0.013166352551352014
77 2154.0 8.029440000000001 7.907085 8.12802 0.007394372786031133 0.0030152765072048735 0.01126446041608253 8.01622 7.89954 8.105095 0.005048907821593133 0.0022415580558218995 0.013231403134339383
78 2156.0 8.03975 7.907085 8.12802 0.006533146042647737 0.0029021850246933817 0.010712297215190333 8.01622 7.89954 8.105095 0.005269045863459532 0.0021774451178879174 0.011894297287425314
79 2158.0 8.03975 7.9064700000000006 8.12802 0.006146676422194104 0.002835197147474915 0.01061196030276812 8.010915 7.8959 8.107215 0.004377925027541482 0.0022731351545508694 0.010616000456701354
80 2160.0 8.01925 7.907085 8.126245 0.006224132479049693 0.0026861561897571625 0.010610919206542849 8.01047 7.89954 8.107215 0.004435178306234114 0.002264231927046268 0.010175291524490048
81 2162.0 8.01925 7.90549 8.13252 0.0057035601272151576 0.002874401537457003 0.011154340220060274 8.01047 7.8892050000000005 8.107215 0.004893949894291872 0.002193222620964889 0.010108807086710102
82 2164.0 8.01925 7.90549 8.133859999999999 0.0057120725862238875 0.0029390648064029426 0.010894792388012053 8.01047 7.8892050000000005 8.107215 0.004356229310307475 0.00209041836020204 0.009915522669354273
83 2166.0 8.01857 7.9041 8.133859999999999 0.005795516630887723 0.0029147165538536426 0.011694383523982728 8.01047 7.89124 8.107215 0.004298182287414699 0.001990466918514805 0.010390761172780972
84 2168.0 8.01925 7.9041 8.133859999999999 0.005979157640250848 0.0030886425579030805 0.01231233824592082 8.01047 7.900545 8.107215 0.00422642975168951 0.0020337579353199714 0.010359113227662494
85 2170.0 8.01925 7.9041 8.133859999999999 0.005781237428690605 0.0030314497319079365 0.012224276159134344 8.01047 7.900545 8.107215 0.004443169130150818 0.002174545834067715 0.011107250106904585
86 2172.0 8.03975 7.9064700000000006 8.146445 0.006074561848211054 0.002618882701767928 0.012631127786253634 8.01047 7.900545 8.107215 0.0044992044884986085 0.0021580298203520767 0.010287203598550142
87 2174.0 8.03975 7.9041 8.156825000000001 0.005088842962987532 0.0025727889246804376 0.012257184829137149 8.01047 7.90698 8.115285 0.004430278256326818 0.0020750064588124758 0.010689840281962326
88 2176.0 8.03975 7.9041 8.156825000000001 0.0050090771714232174 0.0024942568795514324 0.012511530072206373 8.01047 7.90698 8.115285 0.0039613712810231275 0.0020931613098288115 0.010850245070847819
89 2178.0 8.04458 7.9041 8.156825000000001 0.004805527020658438 0.0023065107069417884 0.012469545266621548 7.9969 7.893215 8.107215 0.003918868240828926 0.0018575560910617378 0.010668711043106367
90 2180.0 8.04458 7.9041 8.156825000000001 0.00486990804040965 0.002340219300652236 0.012070918113575378 7.9969 7.8940525 8.107215 0.004173394272384694 0.0019076367592056147 0.01041274307264924
91 2182.0 8.04458 7.9041 8.156825000000001 0.004862267504858801 0.0025109515584161306 0.010767055793099726 7.9969 7.893215 8.107215 0.0041764564458529945 0.0018664111719833207 0.010399157868042819
92 2184.0 8.03975 7.9041 8.156825000000001 0.0048218857562571035 0.002744683319966857 0.010052340009316763 8.01037 7.87912 8.119845 0.003959439014415602 0.0018074257816251393 0.009819069228077758
93 2186.0 8.04948 7.9041 8.156825000000001 0.004788850401471492 0.0026485477920207548 0.009776145595594372 8.01037 7.87912 8.119845 0.003956274771186688 0.0021239425983971445 0.010091966256655685
94 2188.0 8.04948 7.9041 8.146445 0.004563776854549537 0.00235880301524246 0.009598218636300157 8.01037 7.87912 8.119845 0.00398507005361791 0.002108635287771228 0.010205237188311827
95 2190.0 8.04948 7.9041 8.156825000000001 0.004659341164509665 0.0024175983259222367 0.009006801168817573 8.01037 7.87912 8.119845 0.003882103227392637 0.002125378603356984 0.01049393003568454
96 2192.0 8.04948 7.9041 8.146445 0.0046554977409526644 0.0023918494731832267 0.009976404633235094 8.01037 7.87912 8.119845 0.003635806056067624 0.0020079195511158465 0.01091106014294993
97 2194.0 8.04458 7.9041 8.146445 0.00495520055692627 0.0022718449511203425 0.010664690965571003 8.01037 7.87912 8.119845 0.003710964230429746 0.0018907985285424012 0.010659192414301374
98 2196.0 8.04948 7.901195 8.146445 0.004957442823753708 0.002047475993100928 0.009836037567240314 7.9969 7.87505 8.108905 0.003614128670084887 0.0016960317986249778 0.010199413245125742
99 2198.0 8.04948 7.901195 8.13774 0.004856829688893344 0.0019409797590289337 0.009206848424323436 7.9969 7.87505 8.111529999999998 0.003742057186691862 0.0016538161771352485 0.010085702240547265
100 2200.0 8.04948 7.9041 8.146445 0.004898224534952782 0.002273983772086029 0.01024912209618195 7.98356 7.87505 8.115269999999999 0.003470428818227973 0.0017352308982037953 0.010366956135400849
101 2202.0 8.04948 7.9041 8.13774 0.004480360733114176 0.002205271326509709 0.010191607273424698 7.9969 7.86754 8.123585 0.0036506810580114652 0.0017670866212606167 0.0104072646387829
102 2204.0 8.04458 7.9041 8.13774 0.0043364551628497 0.0020323879549335403 0.010616270461057897 8.01622 7.86754 8.135259999999999 0.0035866322241643682 0.001787544559952768 0.010450184673047003
103 2206.0 8.03975 7.9041 8.146445 0.004356870180688379 0.002010245310953988 0.01083328228234249 7.9969 7.86754 8.135259999999999 0.0034330718881862635 0.0017364681542352519 0.010103260940603242
104 2208.0 8.03975 7.90549 8.146445 0.004170442600563017 0.0022482746583877638 0.009654320714885672 8.01622 7.86754 8.135259999999999 0.0031686864399671963 0.0017849020294119257 0.009469139677016417
105 2210.0 8.03975 7.90237 8.146445 0.004041596183750885 0.0022850976421915584 0.01011960229546599 8.01622 7.86754 8.135259999999999 0.003001799514220772 0.00177667223601318 0.007986248817706133
106 2212.0 8.03975 7.907055000000001 8.146445 0.004175205936324057 0.002145872196832996 0.010606462785396013 8.01622 7.86703 8.135259999999999 0.003276159475086404 0.0019167460556573548 0.00796510458665868
107 2214.0 8.03975 7.91109 8.146445 0.0037916898054117963 0.0021976597464948427 0.010042802348174878 8.007725 7.86703 8.141975 0.003512394176762163 0.0019088421415453796 0.008183831407570447
108 2216.0 8.04458 7.91109 8.146445 0.00377640916629113 0.0021399687702947125 0.009709490436932817 8.00868 7.86703 8.1385275 0.0033607367897234603 0.001862561911893064 0.008645283321968487
109 2218.0 8.03975 7.91109 8.146445 0.0038306737737064216 0.0021197861383902648 0.009055308181043775 8.004494999999999 7.86703 8.138670000000001 0.00369855244971657 0.001954098669684762 0.0073506008405480015
110 2220.0 8.04458 7.91109 8.146445 0.0034168002883283605 0.002121164118879158 0.00983005849931028 8.00868 7.86703 8.141765 0.0036383620465840504 0.0019731864454470053 0.0069499624024713
111 2222.0 8.03975 7.91109 8.146445 0.0038288041861259487 0.00209360082325397 0.009513429799739636 8.00222 7.86703 8.141975 0.003556361648450916 0.002053791382002748 0.007375507225825306
112 2224.0 8.03975 7.91109 8.146445 0.0037656146655533898 0.001982540325319912 0.009752338893875046 7.9969 7.86703 8.141975 0.003943837577339813 0.002058792761171659 0.008253942595874746
113 2226.0 8.03975 7.91109 8.146445 0.0036497344337460607 0.0019980755590281877 0.010778862934216024 7.9969 7.86703 8.141975 0.003486825519185789 0.0020227886855287494 0.00843838741231419
114 2228.0 8.03975 7.91109 8.146445 0.003414820597255618 0.002060231809744874 0.010483294392536048 7.9969 7.86703 8.141975 0.003587640791493731 0.0020984989934116675 0.007015140102444167
115 2230.0 8.03975 7.91109 8.146445 0.003092868773798924 0.0019940112386267815 0.008596608958824026 8.00707 7.86703 8.141975 0.003728509321176454 0.0020362119923669547 0.006174690985327332
116 2232.0 8.03975 7.91109 8.146445 0.0032368207542694725 0.002077670646264061 0.008434882863287908 8.02883 7.849985 8.155455 0.0035536364746581893 0.0019874925459018858 0.006089327160932004
117 2234.0 8.03975 7.91109 8.146445 0.003603906849797202 0.0019334295423564431 0.008664518975562068 8.02883 7.849985 8.155455 0.0035144308062708624 0.0020023237728187715 0.006068447029767489
118 2236.0 8.03975 7.91109 8.146445 0.003646896334310121 0.0018114205460401408 0.00910542279308442 8.02883 7.8411349999999995 8.155455 0.0034478022953408137 0.0019108303508996926 0.006456500814071092
119 2238.0 8.03975 7.91109 8.146445 0.0036769747653608255 0.0020132032544357592 0.009200151550043965 8.02883 7.8411349999999995 8.155455 0.0032937733473393845 0.0018809323294956641 0.005734541446967934
120 2240.0 8.03975 7.914795 8.14808 0.0036166593740683457 0.0018343206323998768 0.00902551597705993 8.02883 7.849985 8.155455 0.0033519797505439505 0.0019241990918600527 0.006256816227546494
121 2242.0 8.03975 7.914795 8.146445 0.0038051656441771284 0.0017350446944115769 0.009143248104473048 8.02883 7.849985 8.155455 0.0032555384337994903 0.001631290692189999 0.00630992625831992
122 2244.0 8.03975 7.914795 8.1483425 0.00373929210042952 0.001647566049591142 0.009437538919554615 8.02883 7.849985 8.15738 0.0032216448806410354 0.0016652209936661735 0.006217879203728706
123 2246.0 8.03975 7.914795 8.148605 0.0038085932468222526 0.001691612553192789 0.009275582810476435 8.02883 7.8411349999999995 8.15738 0.002995235981353509 0.0017150437456203147 0.006231564094326783
124 2248.0 8.04304 7.914795 8.14055 0.0037324376201016687 0.0016586287868696537 0.009518469830313323 8.02883 7.8411349999999995 8.15738 0.0029621205457065376 0.0017885079139734908 0.0063656403230125495
125 2250.0 8.04458 7.914795 8.16256 0.0036653682700591252 0.0018787792470271163 0.009417446351938842 8.02883 7.8411349999999995 8.15738 0.002815116702054175 0.0018181657878670629 0.006137486801877683
