	time	range_hot	range_cold
800	3600	116	10
801	3602	117	10
802	3604	117	9
803	3606	117	9
804	3608	117	9
805	3610	119	9
806	3612	119	9
807	3614	119	9
808	3616	117	9
809	3618	119	9
810	3620	117	9
811	3622	117	9
812	3624	119	9
813	3626	119	9
814	3628	119	8
815	3630	119	8
816	3632	119	8
817	3634	119	8
818	3636	119	8
819	3638	119	7
820	3640	119	7
821	3642	119	7
822	3644	119	7
823	3646	119	7
824	3648	119	7
825	3650	119	7
826	3652	118	7
827	3654	118	7
828	3656	118	6
829	3658	118	6
830	3660	119	6
831	3662	119	6
832	3664	119	6
833	3666	119	5
834	3668	119	5
835	3670	120	5
836	3672	122	5
837	3674	119	5
838	3676	120	5
839	3678	120	5
840	3680	120	5
841	3682	121	5
842	3684	122	5
843	3686	121	5
844	3688	121	4
845	3690	121	4
846	3692	121	4
847	3694	121	4
848	3696	121	3
849	3698	121	3
850	3700	121	3
851	3702	122	3
852	3704	122	3
853	3706	122	3
854	3708	122	2
855	2000	77	67
856	2002	77	67
857	2004	77	66
858	2006	78	66
859	2008	78	66
860	2010	78	66
861	2012	78	66
862	2014	78	66
863	2016	78	66
864	2018	78	66
865	2020	78	66
866	2022	78	66
867	2024	78	65
868	2026	78	65
869	2028	78	65
870	2030	78	65
871	2032	78	65
872	2034	78	65
873	2036	78	65
874	2038	79	65
875	2040	79	65
876	2042	79	64
877	2044	79	64
878	2046	79	64
879	2048	79	64
880	2050	79	64
881	2052	79	64
882	2054	79	64
883	2056	79	64
884	2058	79	64
885	2060	79	64
886	2062	79	64
887	2064	79	64
888	2066	80	63
889	2068	80	63
890	2070	80	63
891	2072	80	63
892	2074	80	63
893	2076	80	63
894	2078	80	63
895	2080	80	63
896	2082	80	62
897	2084	80	62
898	2086	80	62
899	2088	80	62
900	2090	80	62
901	2092	80	62
902	2094	81	62
903	2096	81	61
904	2098	81	61
905	2100	81	61
906	2102	81	61
907	2104	81	61
908	2106	81	61
909	2108	81	61
910	2110	82	61
911	2112	82	61
912	2114	82	61
913	2116	82	61
914	2118	82	61
915	2120	82	60
916	2122	82	60
917	2124	83	60
918	2126	83	60
919	2128	83	60
920	2130	83	60
921	2132	83	60
922	2134	83	60
923	2136	83	60
924	2138	83	60
925	2140	83	60
926	2142	83	59
927	2144	83	59
928	2146	84	59
929	2148	84	59
930	2150	84	59
931	2152	84	59
932	2154	84	59
933	2156	84	59
934	2158	84	58
935	2160	84	58
936	2162	84	58
937	2164	84	58
938	2166	84	58
939	2168	84	58
940	2170	84	58
941	2172	84	58
942	2174	84	57
943	2176	85	57
944	2178	85	57
945	2180	85	57
946	2182	85	57
947	2184	85	57
948	2186	85	57
949	2188	85	57
950	2190	85	57
951	2192	85	57
952	2194	85	57
953	2196	85	57
954	2198	85	56
955	2200	85	56
956	2202	86	56
957	2204	86	56
958	2206	86	56
959	2208	86	56
960	2210	86	56
961	2212	86	56
962	2214	86	54
963	2216	86	54
964	2218	86	54
965	2220	86	54
966	2222	86	54
967	2224	86	54
968	2226	86	54
969	2228	86	54
970	2230	86	54
971	2232	86	54
972	2234	86	54
973	2236	86	53
974	2238	86	53
975	2240	87	53
976	2242	87	53
977	2244	87	53
978	2246	87	53
979	2248	87	53
980	2250	87	53
981	2252	87	53
982	2254	87	53
983	2256	87	53
984	2258	88	53
985	2260	88	53
986	2262	88	52
987	2264	89	52
988	2266	89	52
989	2268	89	52
990	2270	89	52
991	2272	89	52
992	2274	89	52
993	2276	88	52
994	2278	88	52
995	2280	88	52
996	2282	89	52
997	2284	89	51
998	2286	89	51
999	2288	89	51
1000	2290	89	50
1001	2292	89	50
1002	2294	89	50
1003	2296	89	50
1004	2298	89	50
1005	2300	89	50
1006	2302	89	50
1007	2304	89	50
1008	2306	89	50
1009	2308	89	50
1010	2310	89	50
1011	2312	90	50
1012	2314	90	50
1013	2316	90	50
1014	2318	90	50
1015	2320	90	50
1016	2322	90	50
1017	2324	90	50
1018	2326	90	50
1019	2328	91	50
1020	2330	91	50
1021	2332	91	49
1022	2334	91	49
1023	2336	91	49
1024	2338	91	49
1025	2340	91	49
1026	2342	91	49
1027	2344	91	49
1028	2346	91	49
1029	2348	91	48
1030	2350	91	48
1031	2352	91	48
1032	2354	91	48
1033	2356	91	48
1034	2358	91	48
1035	2360	91	48
1036	2362	91	48
1037	2364	91	48
1038	2366	91	48
1039	2368	91	48
1040	2370	91	48
1041	2372	91	48
1042	2374	91	48
1043	2376	91	48
1044	2378	91	48
1045	2380	91	48
1046	2382	91	48
1047	2384	91	48
1048	2386	91	48
1049	2388	92	48
1050	2390	92	48
1051	2392	92	48
1052	2394	92	48
1053	2396	92	48
1054	2398	92	47
1055	2400	92	47
1056	2402	92	47
1057	2404	92	47
1058	2406	92	47
1059	2408	92	47
1060	2410	92	47
1061	2412	92	47
1062	2414	92	47
1063	2416	92	47
1064	2418	92	47
1065	2420	92	47
1066	2422	92	47
1067	2424	92	46
1068	2426	92	46
1069	2428	93	46
1070	2430	93	46
1071	2432	93	46
1072	2434	93	46
1073	2436	93	46
1074	2438	93	46
1075	2440	93	46
1076	2442	93	45
1077	2444	93	45
1078	2446	93	45
1079	2448	93	45
1080	2450	93	45
1081	2452	93	45
1082	2454	93	45
1083	2456	93	45
1084	2458	94	45
1085	2460	94	45
1086	2462	94	45
1087	2464	94	45
1088	2466	94	45
1089	2468	94	45
1090	2470	94	45
1091	2472	94	45
1092	2474	94	45
1093	2476	94	45
1094	2478	94	45
1095	2480	94	45
1096	2482	94	45
1097	2484	94	45
1098	2486	94	45
1099	2488	94	45
1100	2490	94	44
1101	2492	94	44
1102	2494	94	44
1103	2496	94	44
1104	2498	95	44
1105	2500	95	44
1106	2502	95	44
1107	2504	95	44
1108	2506	95	44
1109	2508	95	44
1110	2510	95	44
1111	2512	95	44
1112	2514	95	44
1113	2516	95	44
1114	2518	95	44
1115	2520	95	44
1116	2522	95	44
1117	2524	95	44
1118	2526	95	44
1119	2528	95	44
1120	2530	95	44
1121	2532	95	44
1122	2534	95	44
1123	2536	95	44
1124	2538	95	44
1125	2540	95	43
1126	2542	95	43
1127	2544	95	43
1128	2546	95	43
1129	2548	96	43
1130	2550	96	43
1131	2552	96	43
1132	2554	96	43
1133	2556	96	43
1134	2558	96	43
1135	2560	96	43
1136	2562	96	43
1137	2564	96	43
1138	2566	96	43
1139	2568	96	43
1140	2570	96	43
1141	2572	96	43
1142	2574	96	43
1143	2576	96	42
1144	2578	96	42
1145	2580	96	42
1146	2582	96	41
1147	2584	96	41
1148	2586	96	41
1149	2588	96	42
1150	2590	96	42
1151	2592	96	42
1152	2594	96	42
1153	2596	96	42
1154	2598	96	42
1155	2600	96	42
1156	2602	96	42
1157	2604	96	42
1158	2606	96	41
1159	2608	96	41
1160	2610	96	41
1161	2612	96	41
1162	2614	96	41
1163	2616	96	41
1164	2618	96	41
1165	2620	97	41
1166	2622	96	41
1167	2624	96	41
1168	2626	96	41
1169	2628	96	41
1170	2630	97	41
1171	2632	96	41
1172	2634	97	41
1173	2636	97	41
1174	2638	97	41
1175	2640	97	41
1176	2642	97	40
1177	2644	97	40
1178	2646	97	40
1179	2648	97	40
1180	2650	97	40
1181	2652	97	40
1182	2654	97	40
1183	2656	97	40
1184	2658	97	40
1185	2660	97	40
1186	2662	97	40
1187	2664	97	40
1188	2666	97	40
1189	2668	97	40
1190	2670	97	40
1191	2672	97	40
1192	2674	97	40
1193	2676	97	40
1194	2678	97	40
1195	2680	97	40
1196	2682	97	40
1197	2684	97	40
1198	2686	97	40
1199	2688	97	40
1200	2690	97	40
1201	2692	97	40
1202	2694	97	40
1203	2696	97	39
1204	2698	98	39
1205	2700	98	39
1206	2702	98	39
1207	2704	98	39
1208	2706	98	39
1209	2708	98	39
1210	2710	98	39
1211	2712	98	39
1212	2714	98	39
1213	2716	98	39
1214	2718	98	39
1215	2720	98	39
1216	2722	98	39
1217	2724	98	39
1218	2726	98	39
1219	2728	98	39
1220	2730	98	38
1221	2732	98	38
1222	2734	98	38
1223	2736	98	38
1224	2738	98	38
1225	2740	98	38
1226	2742	98	38
1227	2744	98	38
1228	2746	98	38
1229	2748	98	38
1230	2750	98	38
1231	2752	98	38
1232	2754	98	38
1233	2756	99	38
1234	2758	99	38
1235	2760	99	38
1236	2762	99	38
1237	2764	99	38
1238	2766	99	37
1239	2768	99	37
1240	2770	99	37
1241	2772	99	37
1242	2774	99	37
1243	2776	99	37
1244	2778	99	37
1245	2780	99	37
1246	2782	99	37
1247	2784	99	37
1248	2786	99	37
1249	2788	99	37
1250	2790	99	37
1251	2792	99	37
1252	2794	99	37
1253	2796	99	37
1254	2798	99	37
1255	2800	99	37
1256	2802	100	37
1257	2804	99	37
1258	2806	99	37
1259	2808	99	37
1260	2810	99	37
1261	2812	99	37
1262	2814	99	37
1263	2816	99	37
1264	2818	99	36
1265	2820	99	36
1266	2822	99	36
1267	2824	100	36
1268	2826	100	36
1269	2828	100	36
1270	2830	100	36
1271	2832	100	36
1272	2834	100	36
1273	2836	100	36
1274	2838	100	35
1275	2840	100	35
1276	2842	101	35
1277	2844	101	35
1278	2846	101	35
1279	2848	101	35
1280	2850	101	35
1281	2852	101	35
1282	2854	101	35
1283	2856	101	35
1284	2858	101	35
1285	2860	101	35
1286	2862	101	35
1287	2864	101	35
1288	2866	101	35
1289	2868	101	35
1290	2870	101	35
1291	2872	101	35
1292	2874	101	35
1293	2876	101	34
1294	2878	101	34
1295	2880	101	34
1296	2882	101	34
1297	2884	101	34
1298	2886	101	34
1299	2888	102	34
1300	2890	102	34
1301	2892	102	34
1302	2894	102	34
1303	2896	102	34
1304	2898	102	34
1305	2900	102	34
1306	2902	102	34
1307	2904	102	34
1308	2906	102	34
1309	2908	102	33
1310	2910	102	33
1311	2912	101	33
1312	2914	103	33
1313	2916	102	33
1314	2918	103	33
1315	2920	102	33
1316	2922	102	33
1317	2924	103	33
1318	2926	103	33
1319	2928	103	33
1320	2930	103	33
1321	2932	103	33
1322	2934	103	33
1323	2936	103	33
1324	2938	103	33
1325	2940	103	33
1326	2942	103	33
1327	2944	103	32
1328	2946	103	32
1329	2948	103	32
1330	2950	103	32
1331	2952	103	32
1332	2954	103	32
1333	2956	103	32
1334	2958	103	32
1335	2960	103	32
1336	2962	103	32
1337	2964	103	32
1338	2966	103	32
1339	2968	103	32
1340	2970	103	32
1341	2972	103	31
1342	2974	103	31
1343	2976	103	31
1344	2978	103	31
1345	2980	103	31
1346	2982	103	31
1347	2984	103	31
1348	2986	103	31
1349	2988	103	31
1350	2990	103	31
1351	2992	104	31
1352	2994	104	31
1353	2996	104	31
1354	2998	104	31
1355	3000	104	31
1356	3002	104	31
1357	3004	104	30
1358	3006	104	30
1359	3008	104	30
1360	3010	104	30
1361	3012	104	30
1362	3014	104	30
1363	3016	104	30
1364	3018	104	30
1365	3020	104	30
1366	3022	104	30
1367	3024	104	30
1368	3026	104	29
1369	3028	105	29
1370	3030	104	29
1371	3032	105	29
1372	3034	105	29
1373	3036	105	29
1374	3038	105	29
1375	3040	105	29
1376	3042	105	29
1377	3044	105	29
1378	3046	105	29
1379	3048	105	29
1380	3050	105	29
1381	3052	105	29
1382	3054	105	29
1383	3056	105	29
1384	3058	105	29
1385	3060	105	29
1386	3062	105	28
1387	3064	105	28
1388	3066	105	28
1389	3068	105	28
1390	3070	105	28
1391	3072	105	28
1392	3074	105	28
1393	3076	105	28
1394	3078	105	28
1395	3080	105	28
1396	3082	105	28
1397	3084	105	28
1398	3086	106	28
1399	3088	106	28
1400	3090	106	28
1401	3092	106	28
1402	3094	106	28
1403	3096	106	28
1404	3098	106	27
1405	3100	106	27
1406	3102	106	27
1407	3104	106	27
1408	3106	106	27
1409	3108	106	27
1410	3110	106	27
1411	3112	106	27
1412	3114	106	27
1413	3116	106	27
1414	3118	106	27
1415	3120	106	27
1416	3122	106	27
1417	3124	106	27
1418	3126	106	27
1419	3128	106	27
1420	3130	106	27
1421	3132	106	26
1422	3134	106	26
1423	3136	106	26
1424	3138	106	26
1425	3140	106	26
1426	3142	106	26
1427	3144	106	26
1428	3146	106	26
1429	3148	109	26
1430	3150	107	26
1431	3152	107	26
1432	3154	107	25
1433	3156	107	25
1434	3158	109	25
1435	3160	109	25
1436	3162	107	25
1437	3164	109	25
1438	3166	109	25
1439	3168	109	25
1440	3170	108	25
1441	3172	108	25
1442	3174	109	25
1443	3176	109	25
1444	3178	109	25
1445	3180	109	24
1446	3182	109	24
1447	3184	109	24
1448	3186	109	24
1449	3188	109	24
1450	3190	109	24
1451	3192	109	24
1452	3194	109	24
1453	3196	109	24
1454	3198	109	24
1455	3200	109	23
1456	3202	109	23
1457	3204	109	23
1458	3206	109	23
1459	3208	109	23
1460	3210	109	23
1461	3212	109	23
1462	3214	109	23
1463	3216	109	22
1464	3218	109	22
1465	3220	109	22
1466	3222	109	22
1467	3224	109	22
1468	3226	108	22
1469	3228	109	22
1470	3230	109	22
1471	3232	109	22
1472	3234	109	22
1473	3236	109	22
1474	3238	109	22
1475	3240	109	22
1476	3242	109	22
1477	3244	109	22
1478	3246	109	22
1479	3248	109	22
1480	3250	109	22
1481	3252	109	22
1482	3254	109	22
1483	3256	109	22
1484	3258	109	22
1485	3260	109	22
1486	3262	109	22
1487	3264	109	22
1488	3266	109	22
1489	3268	109	22
1490	3270	109	21
1491	3272	109	21
1492	3274	109	21
1493	3276	109	21
