 time_step hot_dSr q_25_hot_br_dSr q_75_hot_br_dSr hot_wr_dSr q_25_hot_wr_dSr q_75_hot_wr_dSr cold_dSr q_25_cold_br_dSr q_75_cold_br_dSr cold_wr_dSr q_25_cold_wr_dSr q_75_cold_wr_dSr
44 2088.0 -0.008870929999999999 -0.009176759999999999 -0.008657935 1.1538137304601612e-08 5.980421075390165e-09 2.871967750215653e-08 -0.009076925 -0.0092570525 -0.008880725 9.221870208365921e-08 4.356093779753973e-08 1.43941384910115e-07
45 2090.0 -0.008867719999999999 -0.009165655 -0.00865408 1.2121593796331167e-08 5.289790382583991e-09 3.106114998824648e-08 -0.009076925 -0.0092584575 -0.008880725 9.124786686576032e-08 4.2202371278436034e-08 1.3850542380435398e-07
46 2092.0 -0.008870929999999999 -0.009176759999999999 -0.00865408 1.1978277272502174e-08 5.333777801703193e-09 2.6154283590688717e-08 -0.009076925 -0.0092570525 -0.008882305 8.615688397324568e-08 4.3260544929445553e-08 1.323542247768416e-07
47 2094.0 -0.008870929999999999 -0.009165655 -0.00865408 1.2344955817476071e-08 5.959993163848422e-09 2.491520669594176e-08 -0.009076925 -0.009251812500000001 -0.008882305 8.518677917459657e-08 4.26590237011764e-08 1.3045158848787292e-07
48 2096.0 -0.008877844999999999 -0.009165655 -0.008657935 1.2377081437443632e-08 5.624248255987275e-09 2.5620242174413012e-08 -0.009076925 -0.0092570525 -0.00886637 8.501449258473459e-08 4.12170581026419e-08 1.3572965791129372e-07
49 2098.0 -0.008870929999999999 -0.009165655 -0.0086522275 9.571526096650932e-09 5.197333499201406e-09 2.5890494493223594e-08 -0.00907474 -0.009251812500000001 -0.00887434 8.523878579948973e-08 3.883685385690269e-08 1.4099521778991174e-07
50 2100.0 -0.008870929999999999 -0.009165655 -0.0086522275 8.953703313802284e-09 4.138035098091863e-09 2.600177262245382e-08 -0.009076925 -0.009251812500000001 -0.008882305 8.364071994807475e-08 3.840646430815656e-08 1.3852153886303773e-07
51 2102.0 -0.008870929999999999 -0.009176759999999999 -0.0086339425 1.0128066621681467e-08 4.53351659094189e-09 2.5707106088227667e-08 -0.009082385 -0.009251812500000001 -0.008882305 8.340412466653446e-08 4.073419647077814e-08 1.3953616898008934e-07
52 2104.0 -0.008870929999999999 -0.009176759999999999 -0.0086339425 1.0193643317856211e-08 4.535632674484354e-09 2.5097362767182277e-08 -0.009076925 -0.0092579625 -0.00886637 7.851861080210839e-08 3.246426430427211e-08 1.2954455257056804e-07
53 2106.0 -0.008870929999999999 -0.009176759999999999 -0.0086339425 1.0095031123529702e-08 4.6262510541677025e-09 2.4789674853608994e-08 -0.00907474 -0.009251812500000001 -0.008860035 7.161080030578568e-08 3.125794177274848e-08 1.2903474685506297e-07
54 2108.0 -0.008870929999999999 -0.009176759999999999 -0.0086339425 1.0192894872867692e-08 4.487521537826635e-09 2.375900545961463e-08 -0.009076925 -0.009249055 -0.008860035 7.210590838106446e-08 3.232902779128454e-08 1.1560394226785421e-07
55 2110.0 -0.008867719999999999 -0.009165655 -0.0085914625 1.0871942468535847e-08 4.867374259599912e-09 2.3253228101355423e-08 -0.00907474 -0.0092420125 -0.008852755 6.507214639360908e-08 3.221487277919432e-08 1.1378929308903806e-07
56 2112.0 -0.008870929999999999 -0.0091493025 -0.0086339425 1.1141719173014754e-08 4.6624381447368025e-09 2.4053415582991397e-08 -0.00907474 -0.0092420125 -0.00879287 6.601506993857693e-08 3.37904266546096e-08 1.188447799086831e-07
57 2114.0 -0.008877844999999999 -0.0091493025 -0.0086339425 1.0872168897726941e-08 4.66075276390651e-09 2.4163484737877537e-08 -0.009070695 -0.009235085 -0.00879287 6.314973329786502e-08 2.8755923206065386e-08 1.1824517786502696e-07
58 2116.0 -0.008870929999999999 -0.009165655 -0.0086339425 9.891214597541639e-09 4.656371637515587e-09 2.3831283249794716e-08 -0.009066620000000001 -0.009235085 -0.00879287 6.269166584213266e-08 2.350055185109083e-08 1.1633000632685055e-07
59 2118.0 -0.0088718175 -0.009165655 -0.00864427 1.0027329341719963e-08 5.114438085664782e-09 2.4568738738416575e-08 -0.009066620000000001 -0.009249055 -0.008791036250000002 5.815289926889857e-08 2.4932447902555436e-08 1.1880485136484083e-07
60 2120.0 -0.008873255 -0.009165655 -0.00864427 9.37203123050871e-09 4.95632705061419e-09 2.4742096138829923e-08 -0.00906527 -0.009249055 -0.008793205 5.918309756392096e-08 2.2195365441273694e-08 1.1508860846372294e-07
61 2122.0 -0.008870929999999999 -0.009165655 -0.00864427 9.590482980304171e-09 5.14554999007159e-09 2.5524795220578652e-08 -0.009066620000000001 -0.009251812500000001 -0.008781845 5.882662891192674e-08 2.067538681338507e-08 1.1886047002495569e-07
62 2124.0 -0.008877844999999999 -0.009165655 -0.00864427 9.03128185849261e-09 5.104559126368573e-09 2.2983879690958442e-08 -0.0090343 -0.009249055 -0.0087562575 5.7089213930537354e-08 1.751832841349521e-08 1.086420315724414e-07
63 2126.0 -0.008877844999999999 -0.0091703125 -0.00864427 9.156121002544151e-09 5.595069161689907e-09 2.174978979570112e-08 -0.00905567 -0.009254632499999998 -0.0087562575 5.9245659049025056e-08 1.8434273972805305e-08 1.1573783872918665e-07
64 2128.0 -0.008877844999999999 -0.009176759999999999 -0.00864427 9.364265256744605e-09 5.458219212300791e-09 2.0388195711619464e-08 -0.009070385 -0.009254632499999998 -0.0087562575 5.7531887331299496e-08 2.1759777479581703e-08 1.0627243822770426e-07
65 2130.0 -0.008873255 -0.009176759999999999 -0.0086476225 9.250611305390201e-09 5.6254606356619006e-09 1.9734902960869328e-08 -0.009070385 -0.009254632499999998 -0.0087562575 4.5191466541404065e-08 2.1319739942917277e-08 1.0123821548439094e-07
66 2132.0 -0.008870929999999999 -0.009176759999999999 -0.00864427 1.0496188247344351e-08 5.4751184397033905e-09 1.9553289183418704e-08 -0.009072734999999998 -0.009249055 -0.0087562575 3.804468382302533e-08 1.8740387314918633e-08 1.0560080697437574e-07
67 2134.0 -0.008877844999999999 -0.009176759999999999 -0.0086522275 9.687961411595328e-09 5.0335555615924544e-09 1.885345472718656e-08 -0.009068969999999999 -0.00925103 -0.0087562575 3.9310277920006277e-08 2.2707078419196054e-08 1.0039077229005517e-07
68 2136.0 -0.00888473 -0.009176759999999999 -0.00864427 1.0008337134478262e-08 5.357975759398525e-09 1.9015598242570682e-08 -0.00906866 -0.00925103 -0.0087562575 3.746855670800625e-08 1.8740050405237847e-08 9.89067430979081e-08
69 2138.0 -0.008877844999999999 -0.009176759999999999 -0.0086522275 9.77811399707117e-09 4.966932499376442e-09 1.9492150113415976e-08 -0.009072734999999998 -0.00925103 -0.0087562575 3.5533368246804823e-08 1.678228789210625e-08 9.599269107299526e-08
70 2140.0 -0.00889264 -0.009176759999999999 -0.0086522275 9.36881122202424e-09 5.443490034225845e-09 1.9826986782219053e-08 -0.009070385 -0.00925103 -0.0087562575 3.515247884765775e-08 1.6947236877419753e-08 9.593420680392651e-08
71 2142.0 -0.00889885 -0.0091964625 -0.0086522275 8.361300280785054e-09 4.959552323554486e-09 2.0658129330552093e-08 -0.009070385 -0.0092540775 -0.0087562575 3.414052794021742e-08 1.4734022264926699e-08 9.609868498507257e-08
72 2144.0 -0.00888473 -0.00921523 -0.0086522275 8.120902095811408e-09 5.7296218914152815e-09 1.8342708168098295e-08 -0.009070385 -0.00925103 -0.0087562575 3.4501790177036404e-08 1.4494607209154139e-08 9.59781985718461e-08
73 2146.0 -0.00888473 -0.00921523 -0.0086522275 8.063905106944734e-09 5.456507514243397e-09 2.004450821325059e-08 -0.009070385 -0.009254632499999998 -0.0087562575 3.603528264329477e-08 1.3213648873266609e-08 9.502808704205294e-08
74 2148.0 -0.00888473 -0.00921523 -0.0086522275 8.562355744538098e-09 5.473424679184185e-09 1.954307151930536e-08 -0.009070385 -0.009254632499999998 -0.0087562575 3.6143996271667886e-08 1.3380494781165963e-08 9.163284491688508e-08
75 2150.0 -0.00888473 -0.00921523 -0.00865408 9.369040963063394e-09 5.6884334922810204e-09 1.7101830701078962e-08 -0.009070385 -0.009254632499999998 -0.0087398825 3.713775046557237e-08 1.4382822726308432e-08 8.152410688926025e-08
76 2152.0 -0.00888473 -0.00921523 -0.0086522275 9.452705991986838e-09 5.81686489538461e-09 1.75761319714659e-08 -0.009070385 -0.009254632499999998 -0.0087398825 3.768122287619361e-08 1.4664165341377956e-08 7.361768510925727e-08
77 2154.0 -0.008877844999999999 -0.00921523 -0.0086522275 9.858693290605434e-09 5.632993698625941e-09 1.680758632000214e-08 -0.009070385 -0.0092570525 -0.0087398825 3.130669468398242e-08 1.4837702429841811e-08 6.844174284621695e-08
78 2156.0 -0.008877844999999999 -0.00921523 -0.0086522275 1.0037085165403591e-08 6.132484749084327e-09 1.7688190765538763e-08 -0.009070385 -0.0092570525 -0.0087398825 2.876775178347079e-08 1.4331484034334113e-08 7.14455024940645e-08
79 2158.0 -0.008877844999999999 -0.0091964625 -0.0086522275 9.763108864826705e-09 6.160599293279646e-09 1.809886866276228e-08 -0.009070385 -0.0092570525 -0.0087398825 2.8608213612879932e-08 1.3370190762126179e-08 7.687977959503105e-08
80 2160.0 -0.008870929999999999 -0.0091964625 -0.0086522275 8.996003169971237e-09 5.233712094022765e-09 2.001361017707683e-08 -0.00909774 -0.0092570525 -0.0087562575 2.74272921367948e-08 1.3900145972539287e-08 7.60526613855408e-08
81 2162.0 -0.008870929999999999 -0.009170655 -0.0086522275 9.217488989554184e-09 5.03018344042693e-09 1.841682172966322e-08 -0.009098430000000001 -0.0092570525 -0.0087469725 2.352957605409907e-08 1.1561063017448872e-08 7.46562636089492e-08
82 2164.0 -0.008870929999999999 -0.009170655 -0.00864427 9.407451221299925e-09 5.482048852550295e-09 1.744355627730762e-08 -0.009119915 -0.0092570525 -0.0087398825 2.3227398913668633e-08 1.0286155890275265e-08 7.780989449266007e-08
83 2166.0 -0.008870929999999999 -0.009170655 -0.00864427 9.680586058934497e-09 5.486248393840667e-09 1.7491893068244142e-08 -0.009119915 -0.00925783875 -0.0087398825 2.434161420515653e-08 1.0736417719683633e-08 8.008152317253572e-08
84 2168.0 -0.008814655 -0.009170655 -0.00864427 9.627463362549397e-09 5.592234703253826e-09 1.7977581456759247e-08 -0.009119915 -0.009254632499999998 -0.0087562575 2.3800856941032613e-08 1.0559476251780999e-08 8.147765649336746e-08
85 2170.0 -0.008814655 -0.009170655 -0.00864427 9.601830878544804e-09 5.429064965603447e-09 1.8307118290881187e-08 -0.009119915 -0.0092570525 -0.0087562575 2.3205225220898107e-08 1.0150248684251778e-08 7.287096949480479e-08
86 2172.0 -0.008814655 -0.009170655 -0.00864427 1.0330688646349856e-08 5.431845673537575e-09 1.9195104272070914e-08 -0.009119915 -0.0092584575 -0.0087787325 2.3082718406672e-08 9.487133193492425e-09 7.019096772396193e-08
87 2174.0 -0.008814655 -0.00915063 -0.00864427 1.0070787114926288e-08 5.849250567317152e-09 1.824374562564474e-08 -0.00909774 -0.0092584575 -0.0087787325 2.306691996421388e-08 9.614651106663181e-09 5.667976251625582e-08
88 2176.0 -0.008814655 -0.00915063 -0.00864427 1.0444647959991349e-08 6.276190711715306e-09 1.8236791489781938e-08 -0.009104500000000001 -0.0092570525 -0.0087787325 2.3457317180682406e-08 9.478089379433356e-09 5.3711937940937456e-08
89 2178.0 -0.008814655 -0.009170655 -0.00864427 1.0029624862241967e-08 5.835597601999791e-09 1.6960890769420675e-08 -0.009099204999999999 -0.009254632499999998 -0.0087787325 2.229708830167545e-08 9.35477162912665e-09 4.658527236348292e-08
90 2180.0 -0.008814655 -0.009170655 -0.00864427 9.977284337089313e-09 5.8345243111411505e-09 1.8394389114856987e-08 -0.009099204999999999 -0.009254632499999998 -0.0087787325 2.1934688344752637e-08 9.26184401614952e-09 4.527674743134513e-08
91 2182.0 -0.008814655 -0.0091738575 -0.00864427 9.224929458055568e-09 5.364632664147364e-09 1.788172223269696e-08 -0.009099204999999999 -0.0092570525 -0.00874739 2.2251172092467636e-08 9.550812876564123e-09 3.968457051910469e-08
92 2184.0 -0.008814655 -0.009164687500000001 -0.00864427 1.0248360319285723e-08 5.884555027245483e-09 1.7950117036018812e-08 -0.009099204999999999 -0.0092570525 -0.0087180425 2.1548218950655053e-08 9.41778386539468e-09 4.1362051855256416e-08
93 2186.0 -0.00883493 -0.009164687500000001 -0.00864427 9.627450094608715e-09 5.486527627981957e-09 1.8629459390903672e-08 -0.009119285000000001 -0.0092570525 -0.008748977500000001 2.196421540013226e-08 9.64772553064978e-09 3.978839932735538e-08
94 2188.0 -0.00883493 -0.009164687500000001 -0.00864427 9.0157573267318e-09 5.692801840245905e-09 1.5694020208082155e-08 -0.00911434 -0.0092570525 -0.008748977500000001 1.738971452675322e-08 9.667033978864515e-09 3.8708607655034914e-08
95 2190.0 -0.00883493 -0.009167655 -0.00864427 9.833618450271126e-09 5.8997050797382136e-09 1.735297137321158e-08 -0.009121750000000001 -0.0092570525 -0.008748977500000001 1.7723552127515715e-08 8.9452967160818e-09 3.659247734731606e-08
96 2192.0 -0.008859755 -0.009167655 -0.00864427 9.713093630399343e-09 5.76081607728656e-09 1.911731959923155e-08 -0.009121750000000001 -0.0092570525 -0.008748977500000001 1.5850579639526755e-08 8.571899437188326e-09 4.107016624477877e-08
97 2194.0 -0.00883493 -0.009167655 -0.00864427 9.35981910190323e-09 5.4763439992136e-09 1.8448670982838497e-08 -0.009123035 -0.0092584575 -0.008756011250000001 1.629776946064603e-08 8.727549607749275e-09 4.184919288872684e-08
98 2196.0 -0.008859755 -0.0091964625 -0.00864427 9.319132476299202e-09 5.583062954111434e-09 1.967855340456787e-08 -0.009123035 -0.0092584575 -0.0087787325 1.7530818886241846e-08 9.16180368585863e-09 4.568975175563242e-08
99 2198.0 -0.008859755 -0.009194285 -0.00864427 9.043541148493376e-09 5.551190654087485e-09 1.8171663832871116e-08 -0.009123035 -0.0092584575 -0.0087787325 1.6283179286799773e-08 9.92431692112714e-09 4.7599271669292293e-08
100 2200.0 -0.008859755 -0.00918016 -0.00864427 8.792622754412508e-09 5.571822164676762e-09 1.8085146623193486e-08 -0.009099204999999999 -0.0092584575 -0.00874739 1.635917168646123e-08 9.887488745958333e-09 4.511857235697327e-08
101 2202.0 -0.00883493 -0.00918276 -0.00863063 8.421639884063817e-09 5.879090102316236e-09 1.6852207792590048e-08 -0.009123035 -0.009266825 -0.008714412500000001 1.5114224024224167e-08 1.062795740848798e-08 3.442959337965498e-08
102 2204.0 -0.00883493 -0.009154665 -0.00863063 8.280898744596663e-09 5.290769408344554e-09 2.2995925097721432e-08 -0.009099204999999999 -0.0092584575 -0.00874739 1.704262623021948e-08 1.0386326865526218e-08 3.4255336695339206e-08
103 2206.0 -0.008815594999999999 -0.009145467499999999 -0.008611435 8.1126870400157e-09 5.084601999105459e-09 1.8498619952649777e-08 -0.009099204999999999 -0.0092584575 -0.008714412500000001 1.7104245687856115e-08 1.0275202359856107e-08 3.3922100021594274e-08
104 2208.0 -0.008815594999999999 -0.009145467499999999 -0.008587012500000001 7.841638240356827e-09 5.41667456101096e-09 1.9649592990068105e-08 -0.009099204999999999 -0.0092584575 -0.008714412500000001 1.6965129207617372e-08 1.045686741880788e-08 3.5929520745108954e-08
105 2210.0 -0.008815594999999999 -0.009154665 -0.008623465 8.877235877915636e-09 5.788164127418539e-09 1.8602458898254486e-08 -0.009123035 -0.009266825 -0.008714412500000001 1.702423300030978e-08 9.755684929078292e-09 3.4116396509813176e-08
106 2212.0 -0.008815594999999999 -0.009154665 -0.0085947325 9.096343281751105e-09 5.49425580326699e-09 1.51432260401887e-08 -0.009123035 -0.009266825 -0.008714412500000001 1.6336400713559345e-08 9.047210569120439e-09 3.176642266579025e-08
107 2214.0 -0.008815594999999999 -0.009144695 -0.008623465 8.518322427710727e-09 5.6643714303743355e-09 1.5076176555521544e-08 -0.009123035 -0.009266825 -0.0087477675 1.6275227298335236e-08 8.918982575530287e-09 3.0533309895648346e-08
