max_pf 77 min_pf 48
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
1334 0.55879 -0.00103397 -0.0641952 0.01 60 60 0 0 0
1337 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1342 0.57768 -0.000976728 -0.0669103 0.01 48 48 0 0 0
1351 0.591231 -0.000935665 -0.0433785 0.01 60 61 0 0 0
1359 0.568864 -0.00100344 -0.0725969 0.01 60 60 0 0 0
1361 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1375 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
1377 0.58138 -0.000965514 -0.0669103 0.01 50 50 0 0 0
1379 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1386 0.568864 -0.00100344 -0.0603551 0.01 60 60 0 0 0
1390 0.55095 -0.00105773 -0.0416448 0.01 60 60 0 0 0
1391 0.513327 -0.00117174 -0.107051 0.01 60 60 0 0 0
1396 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
1401 0.57768 -0.000976728 -0.0669103 0.01 48 49 0 0 0
1404 0.57768 -0.000976728 -0.0642966 0.01 50 50 0 0 0
1408 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
1414 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1423 0.586832 -0.000948993 -0.0669103 0.01 49 49 0 0 0
1426 0.556846 -0.00103986 -0.0844736 0.01 60 60 0 0 0
1434 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1440 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1446 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1464 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1468 0.592743 -0.000931083 -0.0669103 0.01 50 50 -0.00960605 0.0150628 0
1476 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1484 0.5291 -0.00112394 -0.0819068 0.01 60 60 0 0 0
1491 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1497 0.578079 -0.000975517 -0.0669103 0.01 50 50 0 0 0
1502 0.57768 -0.000976728 -0.0800621 0.01 50 50 -0.00059402 0 -0.0131517
1504 0.56128 -0.00102643 -0.0602536 0.01 60 60 0 0 0
1505 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
1513 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
1514 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1521 0.549885 -0.00106095 -0.0539529 0.01 60 60 0 0 0
1532 0.553972 -0.00104857 -0.0669103 0.01 49 49 0.0157692 -0.0237082 0
1533 0.484772 -0.00125827 -0.0638371 0.01 60 60 0 0 0
1536 0.579725 -0.000970531 -0.0844736 0.01 60 60 0 0 0
1545 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
1558 0.569587 -0.00100125 -0.0552832 0.01 60 60 0 0 0
1583 0.525319 -0.0011354 -0.0503779 0.01 60 60 0 0 0
1594 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1606 0.579725 -0.000970531 -0.0844736 0.01 60 60 0 0 0
1623 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1634 0.576043 -0.000981687 -0.0257594 0.01 60 60 0 0 0
1640 0.488094 -0.0012482 -0.0638371 0.01 60 60 0 0 0
1659 0.568864 -0.00100344 -0.0705261 0.01 60 59 0 0 0
1688 0.584346 -0.000956529 -0.0638371 0.01 60 60 0 0 0
1698 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1701 0.57768 -0.000976728 -0.0669103 0.01 48 48 0 0 0
1711 0.560762 -0.00102799 -0.0738099 0.01 60 62 0 0 0
1737 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1760 0.585019 -0.000954488 -0.092396 0.01 60 59 0 0 0
1777 0.574929 -0.000985065 -0.0818727 0.01 60 60 0 0 0
1781 0.57768 -0.000976728 -0.0669103 0.01 48 49 0 0 0
1785 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1817 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1824 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
1834 0.57768 -0.000976728 -0.0669103 0.01 48 49 0 0 0
1851 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1853 0.566844 -0.00100956 -0.0669103 0.01 50 50 0 0 0
1855 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1870 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1878 0.56081 -0.00102785 -0.0367512 0.01 60 60 0 0 0
1884 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1889 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
1891 0.527996 -0.00112729 -0.0356644 0.01 60 60 0 0 0
1892 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1899 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1903 0.513327 -0.00117174 -0.058613 0.01 60 59 0 0 0
1905 0.57768 -0.000976728 -0.0669103 0.01 50 51 0 0 0
1907 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1924 0.570066 -0.0009998 -0.0504263 0.01 60 61 0 0 0
1930 0.57768 -0.000976728 -0.109236 0.01 49 49 -0.00209808 0 -0.0314723
1933 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
1935 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1937 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1938 0.522481 -0.001144 -0.0844736 0.01 60 60 0 0 0
1942 0.553412 -0.00105027 -0.0412429 0.01 60 61 0 0 0
1952 0.57768 -0.000976728 -0.0370377 0.01 50 50 0.0003151 0 0.00691629
1956 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1967 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1969 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1978 0.513327 -0.00117174 -0.0524392 0.01 60 60 0 0 0
2004 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
2016 0.57462 -0.000986 -0.0658775 0.01 60 60 0 0 0
2031 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2032 0.57768 -0.000976728 -0.0669103 0.01 49 50 0 0 0
2038 0.57768 -0.000976728 -0.0714588 0.01 50 50 -0.0002058 0 -0.00454842
2041 0.562776 -0.00102189 -0.0658775 0.01 60 60 0 0 0
2042 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
2051 0.579725 -0.000970531 -0.0844736 0.01 60 60 0 0 0
2056 0.534666 -0.00110707 -0.0844736 0.01 60 60 0 0 0
2073 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
2096 0.55879 -0.00103397 -0.0598271 0.01 60 60 0 0 0
2097 0.513327 -0.00117174 -0.064621 0.01 60 60 0 0 0
2126 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
2133 0.556846 -0.00103986 -0.0844736 0.01 60 60 0 0 0
2139 0.556517 -0.00104086 -0.0451891 0.01 60 61 0 0 0
2143 0.513327 -0.00117174 -0.0580824 0.01 60 60 0 0 0
