	time	range_hot	range_cold
707	3414	101	50
708	3416	101	50
709	3418	101	50
710	3420	101	50
711	3422	101	50
712	3424	101	50
713	3426	101	50
714	3428	101	50
715	3430	101	50
716	3432	101	50
717	3434	101	50
718	3436	101	50
719	3438	100	50
720	3440	100	50
721	3442	100	50
722	3444	100	50
723	3446	100	50
724	3448	101	50
725	3450	101	50
726	3452	100	50
727	3454	101	50
728	3456	101	50
729	3458	101	50
730	3460	100	50
731	3462	100	50
732	3464	100	50
733	3466	100	50
734	3468	101	50
735	3470	100	50
736	3472	100	50
737	3474	100	50
738	3476	100	50
739	3478	100	50
740	3480	100	50
741	3482	100	50
742	3484	100	50
743	3486	100	50
744	3488	100	50
745	3490	100	50
746	3492	100	50
747	3494	100	50
748	3496	100	50
749	3498	100	50
750	3500	100	50
751	3502	100	50
752	3504	100	50
753	3506	100	50
754	3508	100	50
755	3510	100	50
756	3512	100	50
757	3514	100	50
758	3516	100	50
759	3518	100	50
760	3520	100	50
761	3522	100	50
762	3524	100	50
763	3526	100	50
764	3528	100	50
765	3530	100	50
766	3532	100	50
767	3534	100	50
768	3536	100	50
769	3538	100	50
770	3540	100	50
771	3542	100	50
772	3544	100	50
773	3546	100	50
774	3548	100	50
775	3550	100	50
776	3552	100	50
777	3554	101	50
778	3556	100	50
779	3558	100	50
780	3560	101	50
781	3562	100	50
782	3564	100	50
783	3566	101	50
784	3568	101	50
785	3570	101	50
786	3572	100	50
787	3574	101	50
788	3576	101	50
789	3578	100	50
790	3580	100	50
791	3582	100	50
792	3584	100	50
793	3586	100	50
794	3588	100	50
795	3590	100	50
796	3592	100	50
797	3594	100	50
798	3596	100	50
799	3598	101	50
800	3600	101	50
801	3602	100	50
802	3604	100	50
803	3606	100	50
804	3608	100	50
805	3610	100	50
806	3612	100	50
807	3614	100	50
808	3616	100	50
809	3618	100	50
810	3620	100	50
811	3622	100	50
812	3624	100	50
813	3626	100	50
814	3628	100	50
815	3630	100	50
816	3632	100	50
817	3634	100	50
818	3636	100	50
819	3638	100	50
820	3640	100	50
821	3642	100	50
822	3644	100	50
823	3646	100	50
824	3648	100	50
825	3650	100	50
826	3652	100	50
827	3654	100	50
828	3656	100	50
829	3658	100	50
830	3660	100	50
831	3662	100	50
832	3664	100	50
833	3666	100	50
834	3668	100	50
835	3670	100	50
836	3672	100	50
837	3674	100	50
838	3676	100	50
839	3678	101	50
840	3680	100	50
841	3682	100	50
842	3684	100	50
843	3686	100	50
844	3688	101	50
845	3690	101	50
846	3692	100	50
847	3694	100	50
848	3696	100	50
849	3698	100	50
850	3700	100	50
851	3702	100	50
852	3704	100	50
853	3706	100	50
854	3708	100	50
855	3710	101	50
856	3712	100	50
857	3714	100	50
858	3716	100	50
859	3718	100	50
860	3720	100	50
861	3722	100	50
862	3724	100	50
863	3726	100	50
864	3728	99	50
865	3730	99	50
866	3732	99	50
867	3734	99	50
868	3736	101	50
869	3738	101	50
870	3740	99	50
871	3742	99	50
872	3744	99	50
873	3746	99	50
874	3748	99	50
875	3750	99	50
876	3752	99	50
877	3754	99	50
878	3756	99	50
879	3758	99	50
880	3760	99	50
881	3762	99	50
882	3764	99	50
883	3766	99	50
884	3768	99	50
885	3770	99	50
886	3772	99	50
887	3774	99	50
888	3776	99	50
889	3778	99	50
890	3780	99	50
891	3782	99	50
892	3784	99	50
893	3786	99	50
894	3788	99	50
895	3790	99	50
896	3792	99	50
897	3794	99	50
898	3796	100	50
899	3798	100	50
900	3800	100	50
901	3802	100	50
902	3804	100	50
903	3806	100	50
904	3808	100	50
905	3810	100	50
906	3812	100	50
907	3814	100	50
908	3816	100	50
909	3818	100	50
910	3820	100	50
911	3822	100	50
912	3824	100	50
913	3826	99	50
914	3828	99	50
915	3830	99	50
916	3832	99	50
917	3834	99	50
918	3836	99	50
919	3838	99	50
920	3840	99	50
921	3842	99	50
922	3844	99	50
923	3846	99	50
924	3848	99	50
925	3850	98	50
926	3852	98	50
927	3854	98	50
928	3856	98	50
929	3858	98	50
930	3860	100	50
931	3862	98	50
932	3864	98	50
933	3866	98	50
934	3868	100	50
935	3870	101	50
936	3872	101	50
937	3874	101	50
938	3876	100	50
939	3878	100	50
940	3880	100	50
941	3882	101	50
942	3884	101	50
943	3886	101	50
944	3888	101	50
945	3890	101	50
946	3892	101	50
947	3894	101	50
948	3896	101	50
949	3898	101	50
950	3900	101	50
951	3902	101	50
952	3904	101	50
953	3906	101	50
954	3908	101	50
955	3910	101	50
956	3912	101	50
957	3914	98	50
958	3916	98	50
959	3918	98	50
960	3920	101	50
961	3922	101	50
962	3924	101	50
963	3926	101	50
964	3928	101	50
965	3930	98	50
966	3932	98	50
967	3934	98	50
968	3936	99	50
969	3938	99	50
970	3940	99	50
971	3942	102	50
972	3944	102	50
973	3946	102	50
974	3948	102	50
975	3950	102	50
976	3952	102	50
